spine;title;img;director;country;year;link
124;Carl Theodor Dreyer;https://s3.amazonaws.com/criterion-production/product_images/1860-82b0f5807053a21a1cae335b8d477d7f/ZA7wOpAzBD7Xh0bDvZhFii5RQ8BD02_small.jpg; ;; ;https://www.criterion.com/boxsets/254-carl-theodor-dreyer
125;Day of Wrath;https://s3.amazonaws.com/criterion-production/films/a08cc86b0a4c76930a70c79b6e28cb30/VCRpDPd7SFdURJulHsifKoXIDk8rwp_thumbnail.jpg;Carl Th. Dreyer;Denmark;1943;https://www.criterion.com/films/442-day-of-wrath
126;Ordet;https://s3.amazonaws.com/criterion-production/films/24fa6e0762f08d4196a28e5b2164f6ee/CFhiLjYq4wsUPR2sZ29sKvsMOTZggq_thumbnail.jpg;Carl Th. Dreyer;Denmark;1955;https://www.criterion.com/films/441-ordet
127;Gertrud;https://s3.amazonaws.com/criterion-production/films/3a2d74980746ffe49fdb54ea36575afe/0ShXROwQwgzXY1eRCAhymJWlZw3Nd7_thumbnail.jpg;Carl Th. Dreyer;Denmark;1964;https://www.criterion.com/films/443-gertrud
128;Carl Th. Dreyer—My Metier;https://s3.amazonaws.com/criterion-production/films/10c53181d56d265d297a7d6f28476eca/JfCUoXqrA7694HwRorBjDHWJDJUGCu_thumbnail.jpg;Torben Skjødt Jensen;Denmark;1995;https://www.criterion.com/films/667-carl-th-dreyer-my-metier
129;Le trou;https://s3.amazonaws.com/criterion-production/films/581d2e3f7b055993f715e6e7cadee6ed/EyAcfD4NNSW3uQnDePVJ0rY6Emkqwi_thumbnail.jpg;Jacques Becker;France;1960;https://www.criterion.com/films/668-le-trou
130;The Shop on Main Street;https://s3.amazonaws.com/criterion-production/films/17a09b267d7df228c099117fcc503b0b/HEN7Igx0rZ7xS24SClFcPTBRs9HxSL_thumbnail.jpg;Ján Kadár and Elmar Klos;Czechoslovakia;1965;https://www.criterion.com/films/669-the-shop-on-main-street
131;Closely Watched Trains;https://s3.amazonaws.com/criterion-production/films/af59bfa9eb76fd9dbeba7c5a7876101c/2SuquAQzCKQq0BGkFh9avbof4RYG79_thumbnail.jpg;Jiří Menzel;Czechoslovakia;1966;https://www.criterion.com/films/212-closely-watched-trains
201;Umberto D.;https://s3.amazonaws.com/criterion-production/films/367722dfb270e3a4c758d0b10aebe8ac/twkbkDtlHdjPzwu2VYTWW3el7W0Fd3_thumbnail.jpg;Vittorio De Sica;Italy;1952;https://www.criterion.com/films/371-umberto-d
202;Indiscretion of an American Wife;https://s3.amazonaws.com/criterion-production/films/88efe0fd7022bda95b58775ad4f6e8a9/3dXWG1WeyQutBTTjGG4FJuSBJaOKxN_thumbnail.jpg;Vittorio De Sica;United States;1953;https://www.criterion.com/films/586-indiscretion-of-an-american-wife
203;The BRD Trilogy;https://s3.amazonaws.com/criterion-production/product_images/1945-23da7bdafe273dbec66ce60e6dd58658/V5oY4ZalkXBF5sf9sEHmGPVjlZjmps_small.jpg; ;; ;https://www.criterion.com/boxsets/138-the-brd-trilogy
204;The Marriage of Maria Braun;https://s3.amazonaws.com/criterion-production/films/e311332e819ce74aa50e4f9478640c5a/XsG0lbHPxqjuVl8tZubZfqCvpopBuf_thumbnail.jpg;Rainer Werner Fassbinder;West Germany;1979;https://www.criterion.com/films/592-the-marriage-of-maria-braun
205;Veronika Voss;https://s3.amazonaws.com/criterion-production/films/a2ae0ebf50af9b05c8b3b3d280ff6366/OuXLNXn2wzJkaHMdreItHpbYZUOFYr_thumbnail.jpg;Rainer Werner Fassbinder;West Germany;1982;https://www.criterion.com/films/593-veronika-voss
206;Lola;https://s3.amazonaws.com/criterion-production/films/3ea71dbfe24a1936540736e60139c6e3/iPiAJqoeZqtJqa9oDC0dedP1Xff6tt_thumbnail.jpg;Rainer Werner Fassbinder;West Germany;1981;https://www.criterion.com/films/595-lola
207;The Pornographers;https://s3.amazonaws.com/criterion-production/films/5f00be15d05b84e198167a0d0c43b215/0cl4Pa663UuwdYvZLSHaH61wcgRGDN_thumbnail.jpg;Shohei Imamura;Japan;1966;https://www.criterion.com/films/602-the-pornographers
208;A Film Trilogy by Ingmar Bergman;https://s3.amazonaws.com/criterion-production/product_images/1938-86e4176cc4262e3524935d83d5870456/4hx4crqXk77qBf3SJxMwbw6Mz2sDUg_small.jpg; ;; ;https://www.criterion.com/boxsets/89-a-film-trilogy-by-ingmar-bergman
209;Through a Glass Darkly;https://s3.amazonaws.com/criterion-production/films/9297bbfd6b7844574edc8d8845ad42e5/2USvVN72ycuyEsj81YkYu4yjmy0YPY_thumbnail.jpg;Ingmar Bergman;Sweden;1961;https://www.criterion.com/films/568-through-a-glass-darkly
210;Winter Light;https://s3.amazonaws.com/criterion-production/films/615a2701a468f8fe623d2263f828f9ae/XD9sCchJ9xSddcTuSfcjt9jLrobYC4_thumbnail.jpg;Ingmar Bergman;Sweden;1963;https://www.criterion.com/films/569-winter-light
211;The Silence;https://s3.amazonaws.com/criterion-production/films/96e1add69295c206401f94f0ad905e63/3N8dRvaGxaUqSIYisqeX0KJpdn69Vw_thumbnail.jpg;Ingmar Bergman;Sweden;1963;https://www.criterion.com/films/570-the-silence
212;Ingmar Bergman Makes a Movie;;;;;;
213;Richard III;https://s3.amazonaws.com/criterion-production/films/32d0f143682b34732d0fdd3ed8e0e7bb/fBklqTm33Jg32mLL79K5I4cZHSt9cE_thumbnail.jpg;Laurence Olivier;United Kingdom;1955;https://www.criterion.com/films/366-richard-iii
214;All That Money Can Buy (a.k.a. The Devil and Daniel Webster);https://s3.amazonaws.com/criterion-production/films/160b86b9040a525b23c921e649c9205c/fZdJfFHm6WqsuORvXNxnECVuepIrxW_small.jpg;William Dieterle;United States;1941;https://www.criterion.com/films/622-all-that-money-can-buy-a-k-a-the-devil-and-daniel-webster
215;Knife in the Water;https://s3.amazonaws.com/criterion-production/films/1d9d5fece5c4c3cc639df4968f5d91bd/s0Sn7ygO2rHmYAmNkjIX5OwPkAYCf7_thumbnail.jpg;Roman Polanski;Poland;1962;https://www.criterion.com/films/219-knife-in-the-water
216;The Rules of the Game;https://s3.amazonaws.com/criterion-production/films/abd9ca329347cdfa920a9df9befc8128/IHCPc1PSyc10H2Um4kNrtHawCYtiAS_small.jpg;Jean Renoir;France;1939;https://www.criterion.com/films/295-the-rules-of-the-game
217;Tokyo Story;https://s3.amazonaws.com/criterion-production/films/1b44282b21475545ef56e2aea1b0b19f/LZF1cBQOkP5xsioO5gvLA3sqEk7g0y_thumbnail.jpg;Yasujiro Ozu;Japan;1953;https://www.criterion.com/films/284-tokyo-story
218;Le cercle rouge;https://s3.amazonaws.com/criterion-production/films/9bd22be353d710a7a2a84bf6e3bb2cd1/Kh3KOTtW6UOlDFLANjy4GdurnppznJ_thumbnail.jpg;Jean-Pierre Melville;France;1970;https://www.criterion.com/films/628-le-cercle-rouge
219;La strada;https://s3.amazonaws.com/criterion-production/films/3ada40824f5c3aca9583dfbd8b3b6792/9sIzSjGnd1Uzz4x3nn4yq6tpaif5xK_thumbnail.jpg;Federico Fellini;Italy;1954;https://www.criterion.com/films/185-la-strada
220;Naked Lunch;https://s3.amazonaws.com/criterion-production/films/90d418713a2e7ecc053c7cea7f3edc07/BmQGbMPdDYJ7IwGNosdZiWUsJXh3EI_thumbnail.jpg;David Cronenberg;Canada;1991;https://www.criterion.com/films/634-naked-lunch
221;Ikiru;https://s3.amazonaws.com/criterion-production/films/170a20632c3aaea17daab26fe62ae0b4/KEnmrGEhKGIUoIrMqG2vVjSk0nkr1h_thumbnail.jpg;Akira Kurosawa;Japan;1952;https://www.criterion.com/films/353-ikiru
222;Diary of a Country Priest;https://s3.amazonaws.com/criterion-production/films/38f25eb744529ce7b5eab16928217c66/ybtLbvWGrpo9prC4syVXEPuX43ewCS_thumbnail.jpg;Robert Bresson;France;1951;https://www.criterion.com/films/452-diary-of-a-country-priest
223;Maîtresse;https://s3.amazonaws.com/criterion-production/films/727de42f19292ca17343c7eee0fe58e2/m3EN7eoz9eQ0yiJ4vnyNElkQKED4Ge_thumbnail.jpg;Barbet Schroeder;France;1976;https://www.criterion.com/films/554-maitresse
224;Pickup on South Street;https://s3.amazonaws.com/criterion-production/films/d5db340eb1cae5f419be0510bf757b46/SKTYhcSrnizW7tJjNKuLcpAyIpo435_small.jpg;Samuel Fuller;United States;1953;https://www.criterion.com/films/446-pickup-on-south-street
225;Tunes of Glory;https://s3.amazonaws.com/criterion-production/films/418e66a9918f1828df51c24759694c93/fYx0hDxKnfUdjea1QAR3n18yKhbAJy_thumbnail.jpg;Ronald Neame;United Kingdom;1960;https://www.criterion.com/films/659-tunes-of-glory
226;Onibaba;https://s3.amazonaws.com/criterion-production/films/e0fc371e56bef5749dc61aa890ad5d2e/GESrQUhGrAwZFXI5FVnOsR4gg0aiEj_small.jpg;Kaneto Shindo;Japan;1964;https://www.criterion.com/films/665-onibaba
227;Le Corbeau;https://s3.amazonaws.com/criterion-production/films/e2d247a9f02067c4e7b009ebaf3dc897/oXrM969Vjj2LmW7zYSjDilZ5BVNGAX_thumbnail.jpg;Henri-Georges Clouzot;France;1943;https://www.criterion.com/films/684-le-corbeau
228;Salvatore Giuliano;https://s3.amazonaws.com/criterion-production/films/7e75c5b26d08e3221c6824608e9527fe/CzQiBBa54ctX3HbVQRMP3oFadHMzXI_thumbnail.jpg;Francesco Rosi;Italy;1962;https://www.criterion.com/films/687-salvatore-giuliano
229;Scenes from a Marriage;https://s3.amazonaws.com/criterion-production/films/9cc97a3bd4f3fc0e589ed556ec57c6d3/gDt8pykZ0Jq77v9lN9rKZIldYgM2E0_thumbnail.jpg;Ingmar Bergman;Sweden;1973;https://www.criterion.com/films/710-scenes-from-a-marriage
